rank,name,category,address
47,Sofinnova Investments,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
48,TCV,vc,"250 Middlefield Rd, Menlo Park, CA 94025"
49,Notable Capital,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
50,Renegade Partners,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
51,Owl Ventures,vc,"333 Ravenswood Ave, Menlo Park, CA 94025"
52,Third Point Ventures,vc,"2180 Sand Hill Rd, Menlo Park, CA 94025"
53,Merus Capital,vc,"2180 Sand Hill Rd, Menlo Park, CA 94025"
54,5AM Ventures,vc,"2200 Sand Hill Rd, Menlo Park, CA 94025"
55,The Westly Group,vc,"2200 Sand Hill Rd, Menlo Park, CA 94025"
56,Nexus Venture Partners,vc,"2200 Sand Hill Rd, Menlo Park, CA 94025"
57,Onset Ventures,vc,"2400 Sand Hill Rd, Menlo Park, CA 94025"
58,Altimeter Capital,vc,"2420 Sand Hill Rd, Menlo Park, CA 94025"
59,Shasta Ventures,vc,"2440 Sand Hill Rd, Menlo Park, CA 94025"
60,Storm Ventures,vc,"2440 Sand Hill Rd, Menlo Park, CA 94025"
61,Altos Ventures,vc,"2882 Sand Hill Rd, Menlo Park, CA 94025"
62,Morgenthaler Ventures,vc,"2710 Sand Hill Rd, Menlo Park, CA 94025"
63,TransLink Capital,vc,"530 Lytton Ave, Palo Alto, CA 94301"
64,Ulu Ventures,vc,"115 Everett Ave, Palo Alto, CA 94301"
65,Plug and Play Ventures,both,"440 N Wolfe Rd, Sunnyvale, CA 94085"
66,GV,vc,"1600 Amphitheatre Pkwy, Mountain View, CA 94043"
67,Gradient Ventures,vc,"1600 Amphitheatre Pkwy, Mountain View, CA 94043"
68,Salesforce Ventures,vc,"415 Mission St, San Francisco, CA 94105"
69,SV Angel,vc,"588 Sutter St, San Francisco, CA 94102"
70,Forerunner Ventures,vc,"101 Mission St, San Francisco, CA 94105"
71,Homebrew,vc,"500 3rd St, San Francisco, CA 94107"
72,Initialized Capital,vc,"149 New Montgomery St, San Francisco, CA 94105"
73,Craft Ventures,vc,"660 4th St, San Francisco, CA 94107"
74,Slow Ventures,vc,"1006 Kearny St, San Francisco, CA 94133"
75,Obvious Ventures,vc,"201 Mission St, San Francisco, CA 94105"
76,Base10 Partners,vc,"727 Sansome St, San Francisco, CA 94111"
77,Bedrock Capital,vc,"505 Howard St, San Francisco, CA 94105"
78,Bloomberg Beta,vc,"140 New Montgomery St, San Francisco, CA 94105"
79,Bow Capital,vc,"535 Mission St, San Francisco, CA 94105"
80,Caffeinated Capital,vc,"660 4th St, San Francisco, CA 94107"
81,Congruent Ventures,vc,"101 Mission St, San Francisco, CA 94105"
82,Crosslink Capital,vc,"2180 Sand Hill Rd, Menlo Park, CA 94025"
83,Fifty Years,vc,"1925 Bryant St, San Francisco, CA 94110"
84,Flourish Ventures,vc,"160 Spear St, San Francisco, CA 94105"
85,Founders Circle Capital,vc,"1 Letterman Dr, San Francisco, CA 94129"
86,Headline,vc,"515 Howard St, San Francisco, CA 94105"
87,ICONIQ Capital,vc,"394 Pacific Ave, San Francisco, CA 94111"
88,Jackson Square Ventures,vc,"400 Jackson St, San Francisco, CA 94111"
89,Lemnos Labs,vc,"123 Mission St, San Francisco, CA 94105"
90,Maven Ventures,vc,"660 4th St, San Francisco, CA 94107"
91,Reach Capital,vc,"474 Bryant St, San Francisco, CA 94107"
92,Ridge Ventures,vc,"600 Montgomery St, San Francisco, CA 94111"
93,SignalFire,vc,"501 2nd St, San Francisco, CA 94107"
94,South Park Commons,both,"1 South Park St, San Francisco, CA 94107"
95,Spearhead,accelerator,"301 Howard St, San Francisco, CA 94105"
96,Susa Ventures,vc,"901 Mission St, San Francisco, CA 94103"
97,Thomvest Ventures,vc,"155 2nd St, San Francisco, CA 94105"
98,Top Tier Capital Partners,vc,"600 Montgomery St, San Francisco, CA 94111"
99,Unusual Ventures,vc,"1600 El Camino Real, Menlo Park, CA 94025"
100,Village Global,vc,"3101 Park Blvd, Palo Alto, CA 94306"
101,Amplify Partners,vc,"800 Menlo Ave, Suite 220, Menlo Park, CA 94025"
102,Afore Capital,vc,"237 Kearny St, Ste 9225, San Francisco, CA 94108"
103,Eclipse,vc,"514 High St, Suite 4, Palo Alto, CA 94301"
104,11.2 Capital,vc,"818 Mission St #200, San Francisco, CA 94103"
105,AME Cloud Ventures,vc,"455B Portage Ave, Palo Alto, CA 94306"
106,Amino Capital,vc,"346 Emerson St, Palo Alto, CA 94301"
107,XYZ Venture Capital,vc,"87 Graham St, Suite 160, San Francisco, CA 94129"
108,Race Capital,vc,"437 Lytton Ave, Palo Alto, CA 94301"
109,Streamlined Ventures,vc,"1825 Emerson St, Palo Alto, CA 94301"
110,MHS Capital,vc,"1301 Sansome St, San Francisco, CA 94111"
111,Cervin Ventures,vc,"820 Ramona St, Unit 200, Palo Alto, CA 94301"
112,Javelin Venture Partners,vc,"525 Market St, Suite 700, San Francisco, CA 94105"
113,Signia Venture Partners,vc,"545 Middlefield Rd, Suite 210, Menlo Park, CA 94025"
114,Emergence Capital,vc,"Pier 5, Suite 102, San Francisco, CA 94111"
115,Webb Investment Network,vc,"1067 Market St, San Francisco, CA 94103"
116,Zetta Venture Partners,vc,"333 Bryant St, San Francisco, CA 94107"
117,500 Global,both,"814 Mission St, San Francisco, CA 94103"
118,Alchemist Accelerator,accelerator,"156 2nd St, San Francisco, CA 94105"
119,IndieBio,accelerator,"479 Jessie St, San Francisco, CA 94103"
120,SOSV,vc,"479 Jessie St, San Francisco, CA 94103"
121,HAX,accelerator,"479 Jessie St, San Francisco, CA 94103"
122,Berkeley SkyDeck,both,"2150 Shattuck Ave, Berkeley, CA 94704"
123,Stanford StartX,accelerator,"2627 Hanover St, Palo Alto, CA 94304"
124,Activate,accelerator,"2929 7th St, Berkeley, CA 94710"
125,QB3,accelerator,"1700 4th St, San Francisco, CA 94158"
126,CITRIS Foundry,accelerator,"330 Sutardja Dai Hall, Berkeley, CA 94720"
127,The House Fund,vc,"2534 Channing Way, Berkeley, CA 94704"
128,Entrepreneurs Roundtable Accelerator SF,accelerator,"450 Townsend St, San Francisco, CA 94107"
129,Founder Institute,accelerator,"548 Market St, San Francisco, CA 94104"
130,Techstars San Francisco,accelerator,"77 Geary St, San Francisco, CA 94108"
131,Founders Space,accelerator,"450 Townsend St, San Francisco, CA 94107"
132,Matter,accelerator,"421 Bryant St, San Francisco, CA 94107"
133,Acceleprise San Francisco,accelerator,"44 Tehama St, San Francisco, CA 94105"
134,Acario Innovation,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
135,Activate Capital,vc,"44 Montgomery St, San Francisco, CA 94104"
136,Artiman Ventures,vc,"2000 Alameda de las Pulgas, San Mateo, CA 94403"
137,August Capital,vc,"2480 Sand Hill Rd, Menlo Park, CA 94025"
138,Avanta Ventures,vc,"1 Bush St, San Francisco, CA 94104"
139,Avid Ventures,vc,"548 Market St, San Francisco, CA 94104"
140,Azure Capital Partners,vc,"1700 Montgomery St, San Francisco, CA 94111"
141,Bain Capital Ventures,vc,"535 Mission St, San Francisco, CA 94105"
142,Blumberg Capital,vc,"432 Bryant St, San Francisco, CA 94107"
143,BMW i Ventures,vc,"2606 Bayshore Pkwy, Mountain View, CA 94043"
144,Bosch Ventures,vc,"1730 N 1st St, San Jose, CA 95112"
145,Breakout Ventures,vc,"1390 Market St, San Francisco, CA 94102"
146,Builders VC,vc,"535 Mission St, San Francisco, CA 94105"
147,Canvas Ventures,vc,"320 High St, Palo Alto, CA 94301"
148,Celesta Capital,vc,"400 S El Camino Real, San Mateo, CA 94402"
149,Clear Ventures,vc,"3340 Hillview Ave, Palo Alto, CA 94304"
150,Conductive Ventures,vc,"505 Hamilton Ave, Palo Alto, CA 94301"
151,Core Ventures Group,vc,"215 2nd St, San Francisco, CA 94105"
152,Core Innovation Capital,vc,"660 4th St, San Francisco, CA 94107"
153,Creative Ventures,vc,"44 Tehama St, San Francisco, CA 94105"
154,Defy Partners,vc,"181 Lytton Ave, Palo Alto, CA 94301"
155,E14 Fund,vc,"600 California St, San Francisco, CA 94108"
156,Eniac Ventures,vc,"1700 Montgomery St, San Francisco, CA 94111"
157,Engineering Capital,vc,"530 Lytton Ave, Palo Alto, CA 94301"
158,Ensemble VC,vc,"2 Embarcadero Center, San Francisco, CA 94111"
159,Fin Capital,vc,"455 Market St, San Francisco, CA 94105"
160,F-Prime Capital,vc,"1 Letterman Dr, San Francisco, CA 94129"
161,Fuel Capital,vc,"301 Howard St, San Francisco, CA 94105"
162,Fusion Fund,vc,"550 Lytton Ave, Palo Alto, CA 94301"
163,Future Ventures,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
164,G2 Venture Partners,vc,"805 Veterans Blvd, Redwood City, CA 94063"
165,Garage Technology Ventures,vc,"2225 E Bayshore Rd, Palo Alto, CA 94303"
166,Genacast Ventures,vc,"600 Montgomery St, San Francisco, CA 94111"
167,Genoa Ventures,vc,"600 California St, San Francisco, CA 94108"
168,Glynn Capital,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
169,Golden Gate Ventures,vc,"101 California St, San Francisco, CA 94111"
170,Graphene Ventures,vc,"530 Lytton Ave, Palo Alto, CA 94301"
171,GreatPoint Ventures,vc,"505 Howard St, San Francisco, CA 94105"
172,Green Bay Ventures,vc,"350 Rhode Island St, San Francisco, CA 94103"
173,Hanwha Asset Management,vc,"575 Market St, San Francisco, CA 94105"
174,Harrison Metal,vc,"595 Pacific Ave, San Francisco, CA 94133"
175,Haystack,vc,"55 New Montgomery St, San Francisco, CA 94105"
176,HealthQuest Capital,vc,"1301 Shoreway Rd, Belmont, CA 94002"
177,Hustle Fund,vc,"301 Howard St, San Francisco, CA 94105"
178,Industry Ventures,vc,"30 Hotaling Pl, San Francisco, CA 94111"
179,JAZZ Venture Partners,vc,"2 Jack London Alley, San Francisco, CA 94107"
180,Kapor Capital,vc,"2148 Broadway, Oakland, CA 94612"
181,K9 Ventures,vc,"621 University Ave, Palo Alto, CA 94301"
182,Liquid 2 Ventures,vc,"612 Howard St, San Francisco, CA 94105"
183,MaC Venture Capital,vc,"1 Letterman Dr, San Francisco, CA 94129"
184,Matrix Partners,vc,"101 Main St, San Francisco, CA 94105"
185,Maverick Ventures,vc,"1 Letterman Dr, San Francisco, CA 94129"
186,Moderne Ventures,vc,"600 Montgomery St, San Francisco, CA 94111"
187,Munich Re Ventures,vc,"555 Mission St, San Francisco, CA 94105"
188,NFX,vc,"140 Geary St, San Francisco, CA 94108"
189,NewView Capital,vc,"1200 Howard Ave, Burlingame, CA 94010"
190,Next47,vc,"537 Hamilton Ave, Palo Alto, CA 94301"
191,Novo Holdings,vc,"1550 Bryant St, San Francisco, CA 94103"
192,NVIDIA Inception,accelerator,"2788 San Tomas Expy, Santa Clara, CA 95051"
193,Precursor Ventures,vc,"1355 Market St, San Francisco, CA 94103"
194,Presidio Ventures,vc,"1 Letterman Dr, San Francisco, CA 94129"
195,Quiet Capital,vc,"505 Howard St, San Francisco, CA 94105"
196,Refactor Capital,vc,"400 S El Camino Real, San Mateo, CA 94402"
197,Rocketship.vc,vc,"2555 Park Blvd, Palo Alto, CA 94306"
198,Samsung Catalyst Fund,vc,"3655 N 1st St, San Jose, CA 95134"
199,ServiceNow Ventures,vc,"2225 Lawson Ln, Santa Clara, CA 95054"
200,Toyota Ventures,vc,"444 Castro St, Mountain View, CA 94041"
